trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-191.11949488707717,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-177.10974183553728,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-171.26214845102496,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-73.42287286657005,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-254.7657985027795,"{0: 16, 1: 5, 2: 2, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-161.56734841552154,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-105.64866353876198,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-134.13380491974237,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-145.57138371744014,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-171.73282252456417,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-160.4112777310168,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-102.31333239990323,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,3,-74.5412532510465,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-85.71684284918126,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-94.88604423325509,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-60.30132703720746,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,14,-11.661674923720401,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-113.90758918761388,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-272.6099213364553,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-82.5562038670206,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-132.42616928976318,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-103.43744283948395,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-108.92607701563897,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-230.773332375606,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-76.23088618067395,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-222.31126497803908,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-44.640533404482866,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-84.64850478045106,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-75.76986195867634,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-148.93359311417518,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
