trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",20,0,-85.46820232998249,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9960079893439915}",25,0,-59.79531605540483,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9920319148370607}",20,0,-81.0024531757393,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.2, 'e': 0.9880717128619305}",25,3,-125.16156740195325,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 2}",1
5,False,"{'a': 0.2, 'e': 0.9841273200552851}",20,0,-90.54529617403769,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9801986733067553}",20,0,-148.59399946581746,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.9762857097579093}",30,0,-263.96686120840656,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.2, 'e': 0.9723883668012469}",25,0,-147.4327204014446,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.9685065820791976}",20,0,-108.89728118488868,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.2, 'e': 0.9646402934831231}",20,0,-112.06607301840485,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.9607894391523232}",25,0,-162.55281668028135,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.9569539574730467}",20,0,-73.37624986961774,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.9531337870775047}",30,0,-111.31256192123352,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.9493288668428895}",20,4,-54.02911057991836,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.9455391358903963}",20,0,-73.41390222494105,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.9417645335842487}",20,0,-45.130087919417704,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.2, 'e': 0.9380049995307295}",30,0,-222.74430578351524,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.9342604735772135}",30,0,-189.75582595406192,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.2, 'e': 0.9305308958112057}",20,5,-67.4426399030125,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.2, 'e': 0.9268162065593822}",25,4,-91.16671433838388,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.9231163463866358}",20,0,-146.74227055191744,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.2, 'e': 0.9194312560951247}",20,0,-94.05871585389843,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.9157608767233256}",25,0,-83.29666578106207,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.9121051495450904}",25,0,-145.64220086282594,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.9084640160687061}",25,0,-89.81293539779014,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-68.18139745038442,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.2, 'e': 0.9012252974212047}",20,0,-117.2952857545784,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.8976275964304349}",25,0,-104.45715245617143,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.8940442575003572}",20,0,-98.69241141926376,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.2, 'e': 0.8904752232974725}",25,0,-99.53641582839198,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.2, 'e': 0.8869204367171575}",25,3,-22.86038413730364,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
32,False,"{'a': 0.2, 'e': 0.8833798408827509}",25,0,-118.36040711954642,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.8798533791446438}",20,0,-160.40241186810937,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
34,False,"{'a': 0.2, 'e': 0.8763409950793732}",30,0,-130.89539903434056,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
35,False,"{'a': 0.2, 'e': 0.8728426324887193}",20,0,-142.23078018044166,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,18,-0.8005625524822646,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.865887748059205}",20,0,-92.79615845915257,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.8624311149420454}",25,0,-102.25956201396939,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
