trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.10089884064438,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.22996928204292,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.35242290116568,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.77716385944745,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.00669342744034,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.01499912218242,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,3,-57.84386542296183,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.38861115709986,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.78423501946898,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.67580795863205,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,4,-83.88584842241356,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.365662826386,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,13,-13.02457546007692,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,10,-65.7915359593587,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-73.95718000298451,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.77332074063838,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.007899163330812,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.49466139513439,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.18949646495334,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.5106314535663,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.44807701063016,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.07708859811885,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.22077699710016,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.02088438694983,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.39531467003735,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,5,-83.81124384464935,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-217.19616440772725,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.7242832709501,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-271.4127456005966,"{0: 19, 1: 3, 2: 6, 3: 3, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,16,-2.891787371704249,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
